project_id,asset_id,project_name,asset_type,issue_type,district,corridor_or_location,latitude,longitude,condition,safety_risk,ada_accessibility_concern,equity_priority_area,community_concern_level,citizen_complaints_count,near_school,near_transit,crash_history_nearby,current_los,projected_los_no_build,expected_los_after_project,demand_growth_level,estimated_capital_cost,estimated_annual_om_cost,funding_gap,primary_funding_source,mtp_alignment,lrtp_alignment,complete_streets_alignment,vision_zero_alignment,ada_transition_plan_alignment,resilience_alignment,comp_plan_alignment,project_status,cip_phase,report_date,notes
CIP-0050,AST-00050,Sidewalk Improvement - Gap/missing segment (District 1),Sidewalk,Gap/missing segment,District 1,Sample Corridor 10,29.942507,-81.421577,Good,Low,No,No,Low,8,No,Yes,No,E,C,C,Low,2100000,54145,1350000,Local CIP,Strong,Moderate,Strong,Moderate,Weak,Weak,Weak,ROW/Permitting,Long-term 8-15 years,2026-03-29,Sample record for transportation CIP planning MVP.
CIP-0051,AST-00051,Roadway Improvement - Drainage ponding (District 2),Roadway,Drainage ponding,District 2,Sample Corridor 16,29.941642,-81.403907,Fair,High,Yes,No,Medium,15,No,Yes,No,D,F,A,Low,2250000,35575,1650000,Local CIP,Weak,Weak,Strong,Strong,Strong,Weak,Moderate,Planning,Short-term 1-3 years,2026-01-08,Sample record for transportation CIP planning MVP.
CIP-0052,AST-00052,Transit Stop Improvement - Unsafe crossing access (District 2),Transit Stop,Unsafe crossing access,District 2,Sample Corridor 4,30.095423,-81.347476,Fair,Medium,Yes,Yes,Low,4,No,No,Yes,D,F,C,Medium,1100000,14466,640000,Federal Grant,Strong,Strong,Strong,Moderate,Weak,Weak,Moderate,Candidate,Short-term 1-3 years,2025-10-05,Sample record for transportation CIP planning MVP.
CIP-0053,AST-00053,Transit Stop Improvement - Unsafe crossing access (District 5),Transit Stop,Unsafe crossing access,District 5,Sample Corridor 2,29.979621,-81.41962,Good,High,Yes,No,Low,12,No,No,No,F,C,B,Low,1850000,44414,1600000,Unfunded,Weak,Strong,Strong,Moderate,Weak,Strong,Weak,Planning,Mid-term 4-7 years,2025-07-14,Sample record for transportation CIP planning MVP.
CIP-0054,AST-00054,Transit Stop Improvement - Missing shelter (District 3),Transit Stop,Missing shelter,District 3,Sample Corridor 14,29.88856,-81.44429,Fair,Medium,No,No,Low,1,No,No,No,D,F,A,Low,600000,9968,370000,Sales Tax,Strong,Moderate,Moderate,Weak,Moderate,Weak,Weak,Candidate,Mid-term 4-7 years,2026-04-25,Sample record for transportation CIP planning MVP.
CIP-0055,AST-00055,Sidewalk Improvement - Surface damage (District 1),Sidewalk,Surface damage,District 1,Sample Corridor 28,29.910337,-81.317747,Fair,Medium,Yes,No,High,5,No,No,No,F,C,C,Medium,700000,18393,290000,Sales Tax,Strong,Moderate,Strong,Strong,Weak,Weak,Strong,Construction Ready,Short-term 1-3 years,2025-10-10,Sample record for transportation CIP planning MVP.
CIP-0056,AST-00056,Crosswalk Improvement - Poor visibility (District 5),Crosswalk,Poor visibility,District 5,Sample Corridor 28,30.088729,-81.279495,Fair,High,No,No,Low,1,No,No,No,D,F,D,High,550000,10220,170000,Unfunded,Strong,Moderate,Moderate,Moderate,Strong,Strong,Moderate,Construction Ready,Long-term 8-15 years,2026-04-20,Sample record for transportation CIP planning MVP.
CIP-0057,AST-00057,Bridge/Structure Improvement - Rail/guard issue (District 5),Bridge/Structure,Rail/guard issue,District 5,Sample Corridor 19,29.98714,-81.201325,Fair,High,Yes,No,Low,0,No,Yes,Yes,A,E,B,High,1000000,31016,730000,MPO/TPO Funds,Moderate,Strong,Strong,Strong,Strong,Weak,Weak,Construction Ready,Mid-term 4-7 years,2025-10-14,Sample record for transportation CIP planning MVP.
CIP-0058,AST-00058,Curb Ramp Improvement - Steep ramp (District 3),Curb Ramp,Steep ramp,District 3,Sample Corridor 2,30.049415,-81.31971,Good,Medium,No,No,Low,5,No,Yes,No,C,E,D,Medium,1950000,21559,540000,MPO/TPO Funds,Weak,Strong,Moderate,Moderate,Moderate,Strong,Strong,Planning,Short-term 1-3 years,2025-08-18,Sample record for transportation CIP planning MVP.
CIP-0059,AST-00059,Crosswalk Improvement - Faded markings (District 3),Crosswalk,Faded markings,District 3,Sample Corridor 15,30.076837,-81.406277,Fair,Medium,Yes,Yes,Low,15,No,No,Yes,C,F,A,High,2025000,56735,1550000,MPO/TPO Funds,Moderate,Weak,Weak,Weak,Weak,Weak,Moderate,ROW/Permitting,Mid-term 4-7 years,2026-03-26,Sample record for transportation CIP planning MVP.
CIP-0060,AST-00060,Bridge/Structure Improvement - Drainage issue (District 1),Bridge/Structure,Drainage issue,District 1,Sample Corridor 3,29.944298,-81.291947,Fair,High,No,Yes,High,5,No,No,Yes,A,E,C,Low,2275000,49105,70000,Unfunded,Strong,Moderate,Moderate,Strong,Strong,Moderate,Weak,Design,Short-term 1-3 years,2026-01-16,Sample record for transportation CIP planning MVP.
CIP-0061,AST-00061,Transit Stop Improvement - Missing shelter (District 5),Transit Stop,Missing shelter,District 5,Sample Corridor 15,30.069474,-81.420482,Fair,Medium,Yes,No,Low,3,No,No,No,D,D,A,Low,1900000,56971,190000,Impact Fees,Strong,Strong,Weak,Moderate,Weak,Strong,Strong,Candidate,Mid-term 4-7 years,2025-11-05,Sample record for transportation CIP planning MVP.
CIP-0062,AST-00062,Crosswalk Improvement - Missing crosswalk (District 4),Crosswalk,Missing crosswalk,District 4,Sample Corridor 21,29.971508,-81.357046,Poor,Low,Yes,No,Medium,2,No,No,Yes,C,E,C,High,375000,4807,60000,Federal Grant,Moderate,Moderate,Weak,Moderate,Moderate,Strong,Strong,Construction Ready,Mid-term 4-7 years,2025-12-02,Sample record for transportation CIP planning MVP.
CIP-0063,AST-00063,Sidewalk Improvement - Obstruction (District 2),Sidewalk,Obstruction,District 2,Sample Corridor 14,30.127755,-81.170536,Poor,Low,Yes,No,Low,4,Yes,No,No,E,E,B,Medium,1175000,33707,670000,Federal Grant,Weak,Moderate,Strong,Weak,Moderate,Weak,Weak,Planning,Long-term 8-15 years,2026-01-28,Sample record for transportation CIP planning MVP.
CIP-0064,AST-00064,Curb Ramp Improvement - Missing tactile (District 1),Curb Ramp,Missing tactile,District 1,Sample Corridor 24,30.00387,-81.373311,Good,Medium,Yes,No,Low,1,No,No,No,A,E,C,Medium,1950000,47142,1260000,Local CIP,Weak,Strong,Moderate,Strong,Weak,Weak,Strong,Design,Short-term 1-3 years,2026-02-03,Sample record for transportation CIP planning MVP.
CIP-0065,AST-00065,Transit Stop Improvement - Missing shelter (District 5),Transit Stop,Missing shelter,District 5,Sample Corridor 28,29.88116,-81.30445,Fair,Medium,Yes,No,High,5,No,No,No,A,E,A,High,1925000,38199,1310000,Local CIP,Moderate,Moderate,Weak,Strong,Weak,Weak,Weak,Design,Long-term 8-15 years,2026-04-12,Sample record for transportation CIP planning MVP.
CIP-0066,AST-00066,Sidewalk Improvement - Surface damage (District 2),Sidewalk,Surface damage,District 2,Sample Corridor 1,30.089333,-81.271686,Fair,Low,Yes,Yes,Low,2,Yes,Yes,No,E,E,A,Low,850000,14594,170000,Impact Fees,Moderate,Strong,Weak,Moderate,Strong,Weak,Strong,ROW/Permitting,Long-term 8-15 years,2025-09-24,Sample record for transportation CIP planning MVP.
CIP-0067,AST-00067,Bike Lane Improvement - Missing buffer (District 4),Bike Lane,Missing buffer,District 4,Sample Corridor 25,29.970814,-81.337802,Poor,High,No,No,High,0,No,Yes,No,C,D,D,Medium,175000,935,30000,Impact Fees,Weak,Moderate,Weak,Strong,Weak,Moderate,Moderate,ROW/Permitting,Long-term 8-15 years,2026-04-04,Sample record for transportation CIP planning MVP.
CIP-0068,AST-00068,Bridge/Structure Improvement - Deck condition (District 1),Bridge/Structure,Deck condition,District 1,Sample Corridor 20,29.946443,-81.260037,Fair,Medium,Yes,No,Low,12,Yes,Yes,Yes,A,E,C,Medium,2075000,17868,1520000,Impact Fees,Strong,Weak,Moderate,Strong,Moderate,Moderate,Strong,ROW/Permitting,Long-term 8-15 years,2025-12-01,Sample record for transportation CIP planning MVP.
CIP-0069,AST-00069,Crosswalk Improvement - Missing crosswalk (District 1),Crosswalk,Missing crosswalk,District 1,Sample Corridor 18,29.951792,-81.32284,Fair,Low,Yes,No,Medium,12,No,No,No,A,D,C,Low,2375000,48387,980000,Impact Fees,Moderate,Strong,Weak,Strong,Weak,Weak,Moderate,Planning,Mid-term 4-7 years,2026-03-29,Sample record for transportation CIP planning MVP.
CIP-0070,AST-00070,Bridge/Structure Improvement - Deck condition (District 2),Bridge/Structure,Deck condition,District 2,Sample Corridor 3,30.031481,-81.352561,Fair,Medium,No,Yes,High,12,Yes,No,No,B,F,C,Medium,1775000,16347,510000,Impact Fees,Strong,Moderate,Strong,Weak,Strong,Strong,Strong,Design,Long-term 8-15 years,2025-04-30,Sample record for transportation CIP planning MVP.
CIP-0071,AST-00071,Transit Stop Improvement - No ADA pad (District 4),Transit Stop,No ADA pad,District 4,Sample Corridor 1,29.982604,-81.296015,Good,Medium,Yes,No,High,15,No,No,No,D,E,C,Medium,350000,5852,240000,Sales Tax,Moderate,Strong,Strong,Moderate,Moderate,Weak,Moderate,Planning,Mid-term 4-7 years,2025-07-07,Sample record for transportation CIP planning MVP.
CIP-0072,AST-00072,Roadway Improvement - Potholes (District 1),Roadway,Potholes,District 1,Sample Corridor 11,30.122237,-81.279736,Good,Medium,No,No,High,0,Yes,No,No,E,E,D,Medium,1075000,22056,870000,State Grant,Moderate,Moderate,Moderate,Moderate,Strong,Moderate,Moderate,Candidate,Mid-term 4-7 years,2025-10-18,Sample record for transportation CIP planning MVP.
CIP-0073,AST-00073,Bike Lane Improvement - Gap in network (District 5),Bike Lane,Gap in network,District 5,Sample Corridor 5,30.099959,-81.179948,Fair,Medium,No,No,Medium,1,Yes,Yes,No,C,D,A,Medium,1850000,25618,870000,Unfunded,Strong,Moderate,Strong,Moderate,Moderate,Strong,Moderate,Planning,Mid-term 4-7 years,2026-01-24,Sample record for transportation CIP planning MVP.
CIP-0074,AST-00074,Sidewalk Improvement - Surface damage (District 3),Sidewalk,Surface damage,District 3,Sample Corridor 21,30.039128,-81.438152,Fair,High,Yes,No,Low,4,No,Yes,Yes,A,D,B,Medium,1825000,39415,680000,Unfunded,Strong,Moderate,Strong,Moderate,Moderate,Weak,Weak,Construction Ready,Short-term 1-3 years,2026-04-13,Sample record for transportation CIP planning MVP.
CIP-0075,AST-00075,Sidewalk Improvement - Surface damage (District 2),Sidewalk,Surface damage,District 2,Sample Corridor 16,30.085785,-81.278359,Poor,Low,Yes,No,Low,3,No,Yes,Yes,A,C,C,Low,1675000,39731,50000,Local CIP,Moderate,Moderate,Strong,Weak,Weak,Weak,Moderate,Planning,Long-term 8-15 years,2026-01-29,Sample record for transportation CIP planning MVP.
CIP-0076,AST-00076,Crosswalk Improvement - Faded markings (District 4),Crosswalk,Faded markings,District 4,Sample Corridor 14,30.030638,-81.181192,Fair,High,Yes,No,Medium,3,No,No,No,A,D,A,Low,975000,15358,230000,Local CIP,Strong,Moderate,Moderate,Weak,Moderate,Moderate,Moderate,Candidate,Short-term 1-3 years,2025-09-23,Sample record for transportation CIP planning MVP.
CIP-0077,AST-00077,Bridge/Structure Improvement - Approach sidewalk gap (District 5),Bridge/Structure,Approach sidewalk gap,District 5,Sample Corridor 13,29.927799,-81.370596,Good,Low,Yes,Yes,Low,2,Yes,Yes,No,B,F,D,High,800000,23318,200000,Federal Grant,Moderate,Strong,Moderate,Strong,Weak,Strong,Moderate,Planning,Mid-term 4-7 years,2025-05-17,Sample record for transportation CIP planning MVP.
CIP-0078,AST-00078,Curb Ramp Improvement - Not level (District 5),Curb Ramp,Not level,District 5,Sample Corridor 19,30.127493,-81.300295,Fair,Medium,Yes,No,Medium,1,No,Yes,No,D,C,B,Medium,1425000,23794,220000,Sales Tax,Weak,Strong,Moderate,Strong,Weak,Moderate,Moderate,Construction Ready,Mid-term 4-7 years,2026-01-19,Sample record for transportation CIP planning MVP.
CIP-0079,AST-00079,Sidewalk Improvement - Obstruction (District 1),Sidewalk,Obstruction,District 1,Sample Corridor 10,29.911533,-81.249326,Fair,Medium,Yes,No,Low,5,No,No,No,D,C,D,Low,725000,22041,450000,Sales Tax,Weak,Moderate,Moderate,Moderate,Weak,Moderate,Moderate,Construction Ready,Short-term 1-3 years,2025-09-19,Sample record for transportation CIP planning MVP.
CIP-0080,AST-00080,Curb Ramp Improvement - Not level (District 2),Curb Ramp,Not level,District 2,Sample Corridor 24,29.889808,-81.362943,Fair,Low,No,No,Low,8,No,No,No,A,E,A,High,1225000,27628,890000,Local CIP,Strong,Strong,Weak,Moderate,Strong,Weak,Strong,ROW/Permitting,Long-term 8-15 years,2025-10-08,Sample record for transportation CIP planning MVP.
CIP-0081,AST-00081,Transit Stop Improvement - No ADA pad (District 3),Transit Stop,No ADA pad,District 3,Sample Corridor 3,29.967259,-81.184109,Fair,Medium,Yes,No,High,10,No,No,Yes,F,D,D,High,1700000,10728,1430000,Federal Grant,Weak,Weak,Strong,Weak,Weak,Strong,Weak,Design,Mid-term 4-7 years,2026-03-11,Sample record for transportation CIP planning MVP.
CIP-0082,AST-00082,Curb Ramp Improvement - Not level (District 2),Curb Ramp,Not level,District 2,Sample Corridor 22,30.056743,-81.262306,Good,Low,Yes,No,High,5,No,Yes,No,E,D,C,Medium,450000,3842,270000,Unfunded,Strong,Strong,Weak,Strong,Strong,Moderate,Moderate,Design,Short-term 1-3 years,2025-10-25,Sample record for transportation CIP planning MVP.
CIP-0083,AST-00083,Roadway Improvement - Potholes (District 1),Roadway,Potholes,District 1,Sample Corridor 29,29.950221,-81.394808,Poor,Medium,Yes,Yes,Medium,15,No,Yes,Yes,A,F,D,Low,200000,5302,80000,Local CIP,Strong,Strong,Moderate,Strong,Weak,Moderate,Weak,Design,Long-term 8-15 years,2025-06-17,Sample record for transportation CIP planning MVP.
CIP-0084,AST-00084,Transit Stop Improvement - Missing shelter (District 2),Transit Stop,Missing shelter,District 2,Sample Corridor 5,30.066862,-81.442918,Fair,Low,Yes,No,Medium,2,Yes,No,Yes,E,E,D,Low,275000,8183,100000,MPO/TPO Funds,Moderate,Moderate,Moderate,Strong,Weak,Weak,Moderate,ROW/Permitting,Short-term 1-3 years,2026-01-07,Sample record for transportation CIP planning MVP.
CIP-0085,AST-00085,Roadway Improvement - Drainage ponding (District 4),Roadway,Drainage ponding,District 4,Sample Corridor 6,30.128908,-81.281265,Fair,Low,Yes,Yes,Medium,8,Yes,Yes,No,B,D,C,Low,2350000,71028,2010000,Impact Fees,Moderate,Moderate,Strong,Moderate,Moderate,Weak,Moderate,Planning,Long-term 8-15 years,2026-02-02,Sample record for transportation CIP planning MVP.
CIP-0086,AST-00086,Roadway Improvement - Rutting (District 1),Roadway,Rutting,District 1,Sample Corridor 26,30.020843,-81.352531,Good,Low,No,No,Medium,12,No,No,No,E,C,A,High,1425000,21298,760000,Impact Fees,Moderate,Strong,Moderate,Moderate,Weak,Weak,Strong,Candidate,Short-term 1-3 years,2026-01-04,Sample record for transportation CIP planning MVP.
CIP-0087,AST-00087,Transit Stop Improvement - Unsafe crossing access (District 1),Transit Stop,Unsafe crossing access,District 1,Sample Corridor 22,30.024768,-81.294634,Poor,Medium,Yes,No,Low,3,Yes,No,No,A,D,C,Medium,475000,5047,420000,Federal Grant,Strong,Moderate,Moderate,Moderate,Strong,Moderate,Strong,Construction Ready,Short-term 1-3 years,2025-10-01,Sample record for transportation CIP planning MVP.
CIP-0088,AST-00088,Transit Stop Improvement - No sidewalk access (District 4),Transit Stop,No sidewalk access,District 4,Sample Corridor 28,30.005783,-81.307974,Poor,High,Yes,No,Medium,10,No,No,Yes,B,F,A,Low,450000,12728,30000,State Grant,Moderate,Moderate,Weak,Moderate,Weak,Weak,Strong,ROW/Permitting,Short-term 1-3 years,2025-06-13,Sample record for transportation CIP planning MVP.
CIP-0089,AST-00089,Bridge/Structure Improvement - Rail/guard issue (District 5),Bridge/Structure,Rail/guard issue,District 5,Sample Corridor 30,30.062053,-81.350695,Fair,High,Yes,No,Low,5,No,No,No,D,C,C,Low,375000,8049,70000,Local CIP,Strong,Strong,Moderate,Weak,Moderate,Strong,Moderate,Candidate,Short-term 1-3 years,2025-08-21,Sample record for transportation CIP planning MVP.
CIP-0090,AST-00090,Sidewalk Improvement - Surface damage (District 3),Sidewalk,Surface damage,District 3,Sample Corridor 5,30.018562,-81.36879,Fair,Medium,Yes,No,Medium,4,No,Yes,No,B,F,D,High,600000,17408,20000,Local CIP,Weak,Strong,Strong,Moderate,Moderate,Weak,Strong,ROW/Permitting,Short-term 1-3 years,2025-06-19,Sample record for transportation CIP planning MVP.
CIP-0091,AST-00091,Bike Lane Improvement - Missing buffer (District 3),Bike Lane,Missing buffer,District 3,Sample Corridor 17,29.934079,-81.199684,Fair,Low,Yes,No,Medium,5,No,No,No,A,E,D,Medium,1075000,6036,580000,Impact Fees,Weak,Weak,Strong,Weak,Weak,Moderate,Moderate,Construction Ready,Long-term 8-15 years,2025-07-31,Sample record for transportation CIP planning MVP.
CIP-0092,AST-00092,Bike Lane Improvement - Surface damage (District 1),Bike Lane,Surface damage,District 1,Sample Corridor 29,30.072728,-81.205733,Poor,Medium,Yes,Yes,Low,3,No,No,No,C,E,C,Medium,1800000,43301,890000,Unfunded,Moderate,Moderate,Weak,Moderate,Weak,Strong,Moderate,Design,Short-term 1-3 years,2025-12-28,Sample record for transportation CIP planning MVP.
CIP-0093,AST-00093,Crosswalk Improvement - Missing crosswalk (District 2),Crosswalk,Missing crosswalk,District 2,Sample Corridor 1,30.102191,-81.262009,Fair,Medium,Yes,No,Low,4,No,No,No,C,C,B,Medium,675000,4995,110000,Federal Grant,Moderate,Strong,Moderate,Strong,Moderate,Strong,Weak,ROW/Permitting,Mid-term 4-7 years,2026-01-28,Sample record for transportation CIP planning MVP.
CIP-0094,AST-00094,Crosswalk Improvement - Poor visibility (District 5),Crosswalk,Poor visibility,District 5,Sample Corridor 25,29.921141,-81.374946,Poor,Low,Yes,Yes,Medium,12,No,Yes,No,B,C,A,Low,75000,2211,40000,Federal Grant,Strong,Weak,Moderate,Moderate,Weak,Weak,Weak,Design,Mid-term 4-7 years,2026-04-14,Sample record for transportation CIP planning MVP.
CIP-0095,AST-00095,Transit Stop Improvement - Unsafe crossing access (District 4),Transit Stop,Unsafe crossing access,District 4,Sample Corridor 22,30.080095,-81.401139,Poor,High,Yes,No,High,15,No,No,No,A,E,C,Low,1975000,46252,840000,MPO/TPO Funds,Weak,Weak,Weak,Strong,Weak,Strong,Moderate,Construction Ready,Long-term 8-15 years,2025-06-30,Sample record for transportation CIP planning MVP.
CIP-0096,AST-00096,Bridge/Structure Improvement - Rail/guard issue (District 5),Bridge/Structure,Rail/guard issue,District 5,Sample Corridor 11,29.937501,-81.276771,Poor,Medium,Yes,No,Low,12,No,No,Yes,E,E,B,Medium,1850000,40226,250000,Sales Tax,Strong,Strong,Weak,Moderate,Moderate,Strong,Strong,Construction Ready,Short-term 1-3 years,2026-02-24,Sample record for transportation CIP planning MVP.
CIP-0097,AST-00097,Sidewalk Improvement - Gap/missing segment (District 5),Sidewalk,Gap/missing segment,District 5,Sample Corridor 9,30.114937,-81.347629,Good,Low,Yes,No,Medium,3,No,No,Yes,C,F,D,Low,600000,17216,10000,Local CIP,Strong,Weak,Strong,Strong,Strong,Moderate,Moderate,ROW/Permitting,Mid-term 4-7 years,2025-10-17,Sample record for transportation CIP planning MVP.
CIP-0098,AST-00098,Transit Stop Improvement - No ADA pad (District 1),Transit Stop,No ADA pad,District 1,Sample Corridor 1,29.94558,-81.328538,Good,Low,No,Yes,High,3,No,No,No,C,D,C,Medium,825000,12330,620000,Unfunded,Strong,Weak,Strong,Moderate,Moderate,Moderate,Strong,Planning,Long-term 8-15 years,2025-10-25,Sample record for transportation CIP planning MVP.
CIP-0099,AST-00099,Sidewalk Improvement - Narrow width (District 2),Sidewalk,Narrow width,District 2,Sample Corridor 28,29.91495,-81.187864,Fair,High,Yes,No,Low,4,Yes,No,Yes,B,F,D,Low,1400000,21260,1170000,Sales Tax,Strong,Strong,Strong,Weak,Weak,Strong,Strong,Candidate,Short-term 1-3 years,2025-08-12,Sample record for transportation CIP planning MVP.
CIP-0100,AST-00100,Bike Lane Improvement - Surface damage (District 5),Bike Lane,Surface damage,District 5,Sample Corridor 23,29.906217,-81.444418,Poor,Medium,Yes,Yes,Medium,2,No,Yes,Yes,E,D,A,Medium,1400000,42262,1220000,Local CIP,Moderate,Moderate,Strong,Strong,Strong,Weak,Weak,Design,Mid-term 4-7 years,2026-03-23,Sample record for transportation CIP planning MVP.
